target_sparsity,actual_sparsity,acc_before_finetune,acc_after_finetune,error_pct_after,size_kb,compression_ratio
0.5,0.5,0.9902,0.991,0.9,180.9,1.33
0.7,0.7,0.979,0.993,0.7,108.88,2.21
0.8,0.8,0.9785,0.9914,0.86,72.87,3.31
0.9,0.9,0.7775,0.9901,0.99,36.86,6.54
0.93,0.93,0.7878,0.9906,0.94,26.06,9.25
0.95,0.95,0.8378,0.9905,0.95,18.87,12.77
