target_sparsity,actual_sparsity,acc_before_finetune,acc_after_finetune,error_pct_after,size_kb,compression_ratio
0.5,0.5,0.9902,0.9919,0.81,180.9,1.33
0.7,0.7,0.983,0.9926,0.74,108.88,2.21
0.8,0.8,0.9754,0.9914,0.86,72.87,3.31
0.9,0.9,0.7163,0.9914,0.86,36.86,6.54
0.93,0.93,0.8433,0.9909,0.91,26.06,9.25
0.95,0.95,0.6904,0.9894,1.06,18.87,12.77
